#timestamp x y z qx qy qz qw
1403636579.763556 -0.000000 -0.000000 0.000000 -0.153481 0.023378 0.987645 -0.021330
1403636580.863555 -0.000213 -0.018799 -0.147921 -0.201288 0.009295 0.979422 -0.011359
1403636582.963556 -0.011110 -0.003845 0.134545 -0.149624 0.013380 0.988504 0.017123
1403636583.963556 0.002067 0.004574 -0.272298 -0.214731 0.009484 0.976610 0.005846
1403636584.963556 -0.026581 0.000344 0.192743 -0.133356 0.005182 0.990826 0.021301
1403636586.013556 0.022098 0.012318 -0.110768 -0.247407 0.020127 0.968695 -0.003704
1403636587.063555 0.056693 0.036226 -0.084240 -0.334721 0.027499 0.941905 0.004521
1403636588.063555 0.006056 0.298164 -0.091937 -0.347262 0.043758 0.935631 0.045705
1403636589.063555 0.031032 0.181797 -0.091528 -0.344923 0.044429 0.937283 0.023552
1403636590.113555 0.076374 -0.259432 -0.090994 -0.343976 0.033792 0.937697 -0.035534
1403636591.213556 0.066560 0.072226 -0.085207 -0.345060 0.034591 0.937929 -0.005205
1403636592.263556 -0.033349 0.240455 -0.120559 -0.308943 0.049208 0.945935 0.085676
1403636593.363555 -0.108509 -0.132258 -0.123452 -0.320856 0.034453 0.937404 -0.130916
1403636594.363555 0.130782 0.169227 -0.146858 -0.321351 0.074594 0.936879 0.115873
1403636595.363555 -0.115363 -0.078811 -0.170201 -0.299490 0.029467 0.949672 -0.086950
1403636596.463556 0.248357 0.068444 -0.165450 -0.311835 0.042283 0.948033 0.046949
1403636597.513556 -0.072207 0.053202 -0.144687 -0.313901 -0.000134 0.949119 -0.025291
1403636598.563555 0.051281 -0.009846 -0.217557 -0.326400 -0.025673 0.940825 -0.087483
1403636599.663555 -0.162038 0.036798 -0.370487 -0.160695 0.002197 0.981074 -0.108011
1403636626.113555 -0.154920 0.096428 -0.118273 -0.156069 -0.007981 0.982311 -0.103170
1403636628.213556 -0.155331 0.276922 0.015803 -0.168082 -0.006728 0.984537 -0.048880
1403636629.213556 -0.264389 0.484236 0.132018 -0.180733 -0.000720 0.983451 -0.012588
1403636630.213556 -0.511882 0.855330 0.040642 -0.169176 0.028602 0.976336 0.131645
1403636631.213556 -0.904879 1.263601 0.122283 -0.164910 0.023890 0.978189 0.124020
1403636632.313555 -1.353263 1.608406 0.054913 -0.163756 0.008406 0.978896 0.121964
1403636633.363555 -1.851552 1.790154 -0.042107 -0.178755 -0.003686 0.983882 0.003090
1403636634.413555 -2.530202 2.022194 -0.076435 -0.173865 0.003719 0.984690 0.011937
1403636635.463556 -3.270339 2.277692 -0.080014 -0.185820 -0.003994 0.982064 -0.031697
1403636636.513556 -4.095446 2.584037 0.181717 -0.148221 -0.015728 0.988510 -0.025140
1403636637.513556 -4.622379 2.729928 0.163554 -0.180219 -0.014426 0.982917 -0.034452
1403636638.613555 -5.135917 2.736760 0.189845 -0.207970 0.007248 0.977102 -0.044353
1403636639.663555 -5.849746 2.950826 0.122609 -0.176227 -0.022800 0.983107 -0.043880
