#timestamp x y z qx qy qz qw id
1403636579.763556 -0.000497 -0.065889 -0.020151 0.572153 0.567789 -0.430208 -0.406422 1
1403636580.863555 0.000508 -0.083998 -0.170197 0.589240 0.590052 -0.390104 -0.390453 2
1403636582.963556 -0.016533 -0.068851 0.112354 0.584663 0.551861 -0.407950 -0.432662 4
1403636583.963556 0.001233 -0.060470 -0.295019 0.603060 0.586803 -0.373281 -0.390694 5
1403636584.963556 -0.033140 -0.064216 0.169576 0.575727 0.546625 -0.411047 -0.448085 6
1403636586.013556 0.023684 -0.053277 -0.131802 0.615826 0.599145 -0.363167 -0.360407 7
1403636587.063555 0.060979 -0.029634 -0.104032 0.653087 0.622731 -0.305671 -0.303724 8
1403636588.063555 0.005130 0.232087 -0.111447 0.684841 0.597388 -0.283321 -0.306349 9
1403636589.063555 0.032675 0.115426 -0.109962 0.673872 0.607796 -0.296961 -0.297145 10
1403636590.113555 0.085727 -0.325522 -0.108090 0.638857 0.642379 -0.322559 -0.274166 11
1403636591.213556 0.072189 0.006051 -0.103560 0.654964 0.627441 -0.307024 -0.288230 12
1403636592.263556 -0.041127 0.175172 -0.141183 0.693826 0.560190 -0.289876 -0.347512 13
1403636593.363555 -0.088306 -0.196769 -0.136787 0.580369 0.677942 -0.383090 -0.238347 14
1403636594.363555 0.118773 0.104030 -0.165641 0.723332 0.534430 -0.276371 -0.338812 15
1403636595.363555 -0.101305 -0.144275 -0.186463 0.595307 0.653501 -0.374885 -0.279299 16
1403636596.463556 0.245743 0.002529 -0.185353 0.673541 0.585535 -0.305812 -0.331619 17
1403636597.513556 -0.064068 -0.011513 -0.166898 0.617571 0.644187 -0.321181 -0.316974 18
1403636598.563555 0.068635 -0.072617 -0.240058 0.575628 0.690192 -0.329952 -0.288823 19
1403636599.663555 -0.150618 -0.027798 -0.391574 0.518556 0.622095 -0.457155 -0.367569 20
1403636626.113555 -0.144174 0.032208 -0.140812 0.514106 0.622911 -0.452558 -0.377979 45
1403636628.213556 -0.151021 0.212280 -0.007660 0.548700 0.602305 -0.420499 -0.399170 47
1403636629.213556 -0.264246 0.419469 0.108506 0.575444 0.587078 -0.398052 -0.407134 48
1403636630.213556 -0.531057 0.793255 0.017692 0.652765 0.490893 -0.341191 -0.465307 49
1403636631.213556 -0.923203 1.201394 0.098999 0.645409 0.495770 -0.345800 -0.466993 50
1403636632.313555 -1.370984 1.546758 0.029752 0.636263 0.504162 -0.340093 -0.474686 51
1403636633.363555 -1.853431 1.725685 -0.066355 0.580954 0.579871 -0.389770 -0.417518 52
1403636634.413555 -2.533613 1.957507 -0.099921 0.587134 0.569700 -0.391774 -0.420985 53
1403636635.463556 -3.267438 2.212976 -0.103488 0.566089 0.600182 -0.402961 -0.396166 54
1403636636.513556 -4.094973 2.519866 0.156627 0.548127 0.586633 -0.415813 -0.427222 55
1403636637.513556 -4.619168 2.665700 0.138812 0.557069 0.604244 -0.402421 -0.403262 56
1403636638.613555 -5.130621 2.671557 0.168207 0.573936 0.609872 -0.401462 -0.370786 57
1403636639.663555 -5.845355 2.887002 0.097017 0.546246 0.611137 -0.405180 -0.404914 58
1403636640.663555 -6.466820 3.128463 0.050636 0.520526 0.624441 -0.431956 -0.390564 59
1403636641.713556 -6.879158 3.296210 -0.039430 0.524308 0.623039 -0.432142 -0.387526 60
1403636642.713556 -7.081705 3.445031 -0.010802 0.564400 0.593980 -0.404221 -0.406505 61
1403636643.713556 -7.279219 3.584475 -0.002008 0.572787 0.602832 -0.394428 -0.391070 62
1403636644.763556 -7.797643 3.834367 -0.069187 0.562861 0.582345 -0.424595 -0.404700 63
1403636645.863555 -8.513629 4.238119 -0.300335 0.575600 0.600646 -0.389891 -0.394834 64
1403636646.863555 -9.400130 4.682330 -0.160572 0.645297 0.484237 -0.347890 -0.477576 65
1403636647.913555 -9.905313 5.181511 -0.046908 0.651409 0.478543 -0.346383 -0.476111 66
1403636648.963556 -10.001259 5.741460 -0.188047 -0.751716 -0.346351 0.223805 0.514661 67
1403636650.013556 -9.997426 6.242789 0.196130 -0.734657 -0.327685 0.229883 0.547774 68
1403636651.013556 -9.732112 6.517710 0.159030 -0.779980 -0.208764 0.138313 0.573514 69
1403636652.013556 -9.403831 6.554378 0.229685 -0.781279 -0.179150 0.145466 0.579955 70
1403636653.013556 -8.817805 6.536102 0.114153 -0.827244 -0.035731 0.010078 0.560614 71
1403636654.063555 -8.361657 6.708181 0.159203 -0.804084 -0.057840 0.029516 0.590959 72
1403636655.113555 -7.946239 6.612743 0.201316 -0.805099 0.041390 -0.044394 0.590027 73
1403636656.213556 -7.550017 6.245984 0.042474 -0.804337 0.159328 -0.109847 0.561773 74
1403636657.263556 -7.015510 5.909213 0.084795 -0.786370 0.151845 -0.108360 0.588917 75
1403636658.313555 -6.375707 5.370216 -0.015648 -0.805824 0.164727 -0.118171 0.556371 76
1403636659.413555 -5.670592 5.019813 -0.225372 -0.796621 0.156337 -0.134960 0.568102 77
1403636660.413555 -5.391327 4.791670 -0.491118 -0.820454 0.166761 -0.137821 0.529198 78
1403636661.463556 -5.385181 4.940274 -0.873781 -0.790718 0.159179 -0.143442 0.573456 79
1403636662.563555 -5.709504 4.906478 -0.884738 -0.803459 0.160599 -0.141317 0.555601 80
1403636663.613555 -5.870660 4.862545 -1.090594 -0.824059 0.165488 -0.144270 0.522232 81
1403636664.663555 -6.128273 5.457476 -1.282455 -0.792950 0.141212 -0.128733 0.578547 82
1403636665.663555 -6.715669 6.001009 -1.268693 -0.807269 0.126488 -0.127676 0.562154 83
1403636666.713556 -7.345108 6.449285 -1.204348 -0.804165 0.139203 -0.112650 0.566791 84
1403636667.713556 -7.742609 6.757648 -1.232201 -0.812255 0.136192 -0.101941 0.557944 85
1403636668.713556 -8.034760 7.155293 -1.359952 -0.808104 0.139400 -0.130062 0.557332 86
1403636669.713556 -8.550132 7.602824 -1.483922 -0.777448 0.137183 -0.136139 0.598516 87
1403636670.763556 -8.951681 7.380672 -1.385284 -0.786025 0.126654 0.013798 0.604925 88
1403636671.763556 -7.750969 6.340816 -1.073565 -0.832350 -0.123162 0.063148 0.536691 89
1403636672.813555 -6.763053 6.009599 -0.854571 -0.808523 -0.126184 0.053484 0.572283 90
1403636673.863555 -6.727838 6.131877 -0.898467 -0.793459 -0.199245 0.095858 0.567041 91
1403636674.913555 -7.234457 6.393814 -1.112929 -0.800906 -0.213937 0.154929 0.537380 92
1403636675.963556 -7.885509 6.944344 -1.203249 -0.758501 -0.277277 0.206502 0.552404 93
1403636676.963556 -8.688511 7.260920 -1.367979 0.699523 0.425320 -0.294312 -0.493103 94
1403636677.963556 -9.430231 7.368700 -1.467206 0.640907 0.500561 -0.370117 -0.449101 95
1403636679.063555 -9.867758 7.450882 -1.405307 0.477953 0.663467 -0.424177 -0.389161 96
1403636680.113555 -10.007761 7.291463 -1.264934 0.363298 0.717628 -0.499981 -0.321005 97
1403636681.163555 -9.567485 6.909095 -1.146473 0.412723 0.724699 -0.474500 -0.281640 98
1403636682.213556 -9.064055 6.333751 -1.122276 0.387584 0.713761 -0.503321 -0.294942 99
1403636683.263556 -8.453246 5.775046 -1.083013 0.388937 0.709318 -0.502890 -0.304463 100
1403636684.313555 -7.719400 5.231632 -1.099536 0.383034 0.716983 -0.507711 -0.285394 101
1403636685.363555 -7.012407 4.882752 -1.110976 0.376640 0.724312 -0.494252 -0.298714 102
1403636686.463556 -6.211719 4.543513 -1.157903 0.392393 0.721101 -0.494335 -0.285786 103
1403636687.463556 -5.655843 4.243183 -1.142574 0.383278 0.716316 -0.505753 -0.290178 104
1403636688.463556 -5.163450 4.066113 -1.380067 0.379353 0.718985 -0.504537 -0.290850 105
1403636689.513556 -4.628115 3.787692 -1.510017 0.357562 0.742124 -0.503673 -0.260223 106
1403636690.513556 -4.536366 3.465694 -1.332635 0.371738 0.740458 -0.500360 -0.251342 107
1403636691.613555 -4.986097 3.621225 -1.285261 0.354042 0.723119 -0.533562 -0.258970 108
1403636692.713556 -5.220899 4.371889 -0.907735 0.347723 0.735639 -0.512949 -0.273511 109
1403636693.863555 -5.306331 4.730013 -0.605800 0.357902 0.751444 -0.493665 -0.252059 110
1403636694.913555 -5.588094 4.724845 -0.577425 0.356743 0.733091 -0.519449 -0.255900 111
1403636696.163555 -5.872060 4.805989 -0.605571 0.360772 0.739248 -0.498423 -0.273736 112
1403636697.263556 -5.905129 4.792534 -0.689047 0.340107 0.735244 -0.497788 -0.309758 113
1403636698.313555 -5.591552 4.523085 -0.568020 0.441664 0.687248 -0.468526 -0.336314 114
